codigo_interno,etapa,core,linha,produto_compra,eixo_a,eixo_b,novo_sku,sku_atual
ZN3-92W,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,BUCHA REDUÇÃO SOLDÁVEL,LONGA,40 x 25,BUCHA REDUÇÃO SOLDÁVEL LONGA 40 x 25,BUCHA RED. SOLD SOLDÁVEL LONGA 40 x 25
Z2K-3US,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,BUCHA REDUÇÃO ROSCÁVEL,,1 1/2 X 1 1/4,BUCHA REDUÇÃO ROSCÁVEL 1 1/2 X 1 1/4,BUCHA REDUÇÃO ROSCAVEL 1 1/2 X 1 1/4
E4R-6R6,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,CAIXA D'ÁGUA,310 L,FORTLEV,CAIXA D'ÁGUA 310 L FORTLEV,CAIXA D'ÁGUA FORTLEV 310 L
G4U-LRZ,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,CAIXA D'ÁGUA,1000 L,FORTLEV,CAIXA D'ÁGUA 1000 L FORTLEV,CAIXA D'ÁGUA FORTLEV 1000 L
JKC-Q8M,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,CAIXA D'ÁGUA,2000 L,FORTLEV,CAIXA D'ÁGUA 2000 L FORTLEV,CAIXA D'ÁGUA FORTLEV 2000 L
O63-NOJ,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,CAIXA D'ÁGUA,500 L,FORTLEV,CAIXA D'ÁGUA 500 L FORTLEV,CAIXA D'ÁGUA FORTLEV 500 L
GI2-CPP,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,CAIXA DE,,,CAIXA DE,CAIXA DE
O00-PL0,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,CAIXA SIFONADA,REDONDA,100 X 100 X 50 N.,CAIXA SIFONADA REDONDA 100 X 100 X 50 N.,CAIXA SIFONADA REDONDA 100 X 100 X 50 N.
RPK-5PM,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,CAIXA SIFONADA,QUADRADA,100 X 100 X 40 MM,CAIXA SIFONADA QUADRADA 100 X 100 X 40 MM,CAIXA SIFONADA QUADRADA 100 X 100 X 40 MM
XBU-6R8,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,CAIXA SIFONADA,QUADRADA,100 X 100 X 50 N,CAIXA SIFONADA QUADRADA 100 X 100 X 50 N,CAIXA SIFONADA QUADRADA 100 X 100 X 50 N
3MA-FSA,3 — Instalações brutas,ESGOTO,ESGOTO,CAP ESGOTO,150 MM,,CAP ESGOTO 150 MM,CAP ESGOTO 150 MM
4E6-J8C,3 — Instalações brutas,ESGOTO,ESGOTO,CAP ESGOTO,50MM,,CAP ESGOTO 50MM,CAP ESGOTO 50MM
84P-HW0,3 — Instalações brutas,ESGOTO,ESGOTO,CAP ESGOTO,75MM,,CAP ESGOTO 75MM,CAP ESGOTO 75MM
B5F-8KN,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,CAP SOLDÁVEL,20MM,,CAP SOLDÁVEL 20MM,CAP SOLDÁVEL 20MM
BEW-6M0,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,CAP SOLDÁVEL,25MM,,CAP SOLDÁVEL 25MM,CAP SOLDÁVEL 25MM
DA1-FGU,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,CAP SOLDÁVEL,32MM,,CAP SOLDÁVEL 32MM,CAP SOLDÁVEL 32MM
EVG-O33,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,CAP SOLDÁVEL,40MM,,CAP SOLDÁVEL 40MM,CAP SOLDÁVEL 40MM
GXW-I1B,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,CAP ROSCÁVEL,3/4,,CAP ROSCÁVEL 3/4,CAP ROSCÁVEL 3/4
I6X-JN1,3 — Instalações brutas,ESGOTO,ESGOTO,CAP ESGOTO,100MM,,CAP ESGOTO 100MM,CAP ESGOTO 100MM
IZH-6LK,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,CAP ROSCÁVEL,1,,CAP ROSCÁVEL 1,CAP ROSCÁVEL 1
QH6-XHC,3 — Instalações brutas,ESGOTO,ESGOTO,CAP ESGOTO,40MM,,CAP ESGOTO 40MM,CAP ESGOTO 40MM
U4U-BMY,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,CAP ROSCÁVEL,1/2,,CAP ROSCÁVEL 1/2,CAP ROSCÁVEL 1/2
92Q-05W,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,COLAR PARA TUBO,50 X 3/4 TIGRE,,COLAR PARA TUBO 50 X 3/4 TIGRE,COLAR PARA TUBO 50 X 3/4 TIGRE
KNT-V33,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,COLAR PARA TUBO,60 X 3/4 TIGRE,,COLAR PARA TUBO 60 X 3/4 TIGRE,COLAR PARA TUBO 60 X 3/4 TIGRE
XX8-0OU,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,COLAR PARA TUBO,40 X 3/4 TIGRE,,COLAR PARA TUBO 40 X 3/4 TIGRE,COLAR PARA TUBO 40 X 3/4 TIGRE
FIL-4VG,3 — Instalações brutas,ESGOTO,ESGOTO,CURVA ESGOTO,CURTA,90,CURVA ESGOTO CURTA 90,CURVA ESGOTO CURTA 90 75 MM
IR2-18R,3 — Instalações brutas,ESGOTO,ESGOTO,CURVA ESGOTO,CURTA,90,CURVA ESGOTO CURTA 90,CURVA ESGOTO CURTA 90 100 MM
LUE-471,3 — Instalações brutas,ESGOTO,ESGOTO,CURVA ESGOTO,CURTA,90,CURVA ESGOTO CURTA 90,CURVA ESGOTO CURTA 90 50 MM
LV4-MX5,3 — Instalações brutas,ESGOTO,ESGOTO,CURVA ESGOTO,CURTA,90,CURVA ESGOTO CURTA 90,CURVA ESGOTO CURTA 90 40 MM
7Z6-END,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,ENGATE FLEXÍVEL,50CM,,ENGATE FLEXÍVEL 50CM,ENGATE FLEX PVC C/ ANEL 50CM
O9F-6WW,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,ENGATE FLEXÍVEL,40CM,,ENGATE FLEXÍVEL 40CM,ENGATE FLEX PVC C/ ANEL 40CM
TI1-NO2,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,ENGATE FLEXÍVEL,30 CM,,ENGATE FLEXÍVEL 30 CM,ENGATE FLEX PVC C/ ANEL 30 CM
NC3-0LR,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,ESPUDE,ASTRA,,ESPUDE ASTRA,ESPUDE 1 1/2/40MM (BS5) (30) ASTRA
RIO-6G8,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,GRELHA,100MM,,GRELHA 100MM,GRELHA P/ CAIXA SIFONADA REDONDA 100MM
U7E-PNQ,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,GRELHA,100MM,,GRELHA 100MM,GRELHA P/ CAIXA SIFONADA QUADRADA 100MM
0KN-9O3,3 — Instalações brutas,ESGOTO,ESGOTO,JOELHO ESGOTO 90,,75MM,JOELHO ESGOTO 90 75MM,JOELHO ESGOTO 90 75MM
0V6-NF1,3 — Instalações brutas,ESGOTO,ESGOTO,JOELHO ESGOTO 90,,50 MM,JOELHO ESGOTO 90 50 MM,JOELHO ESGOTO 90 50 MM
1G3-M5F,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,JOELHO 90° SOLDÁVEL,,32 MM,JOELHO 90° SOLDÁVEL 32 MM,JOELHO SOLDÁVEL 90 32 MM
2J8-15U,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,JOELHO ROSCÁVEL 90,,3/4',JOELHO ROSCÁVEL 90 3/4',JOELHO ROSCÁVEL 90 3/4'
52T-87F,3 — Instalações brutas,ESGOTO,ESGOTO,JOELHO ESGOTO 45,,40 MM,JOELHO ESGOTO 45 40 MM,JOELHO ESGOTO 45 40 MM
5O4-4QQ,3 — Instalações brutas,ESGOTO,ESGOTO,JOELHO ESGOTO 45,,50 MM,JOELHO ESGOTO 45 50 MM,JOELHO ESGOTO 45 50 MM
5OH-5NS,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,JOELHO MISTO SOLDÁVEL,,25 MM,JOELHO MISTO SOLDÁVEL 25 MM,JOELHO SOLDÁVEL MISTO 25 MM
62E-5T6,3 — Instalações brutas,ESGOTO,ESGOTO,JOELHO ESGOTO 90,,150 MM,JOELHO ESGOTO 90 150 MM,JOELHO ESGOTO 90 150 MM
681-POX,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,JOELHO 45° SOLDÁVEL,,32 MM,JOELHO 45° SOLDÁVEL 32 MM,JOELHO SOLDÁVEL 45 32 MM
