codigo_interno,categoria_atual,linha,produto_compra,eixo_a,eixo_b,novo_sku,h1,h2,h3,h4,h5,sku_atual
CP4-VXK,E - PISOS E REVESTIMENTOS,REJUNTE,REJUNTE JBMIX,1KG,PRETO,REJUNTE JBMIX 1KG PRETO,REJUNTE,1KG,JBMIX,PRETO,,REJUNTE 1KG JBMIX PRETO
CUB-6SC,E - PISOS E REVESTIMENTOS,REJUNTE,REJUNTE JBMIX,1KG,AZUL PISCINA,REJUNTE JBMIX 1KG AZUL PISCINA,REJUNTE,1KG,JBMIX,AZUL PISCINA,,REJUNTE 1KG JBMIX AZUL PISCINA
GXY-0J4,E - PISOS E REVESTIMENTOS,REJUNTE,REJUNTE QUARTZOLIT,1KG,PALHA,REJUNTE QUARTZOLIT 1KG PALHA,REJUNTE,1KG,QUARTZOLIT,PALHA,,REJUNTE 1KG QUARTZOLIT PALHA
H4G-RXV,E - PISOS E REVESTIMENTOS,REJUNTE,REJUNTE QUARTZOLIT,1KG,CORDA,REJUNTE QUARTZOLIT 1KG CORDA,REJUNTE,1KG,QUARTZOLIT,CORDA,,REJUNTE 1KG QUARTZOLIT CORDA
HFP-8LT,E - PISOS E REVESTIMENTOS,REJUNTE,REJUNTE JBMIX,1KG,VERDE CLARO,REJUNTE JBMIX 1KG VERDE CLARO,REJUNTE,1KG,JBMIX,VERDE CLARO,,REJUNTE 1KG JBMIX VERDE CLARO
HR6-8MO,E - PISOS E REVESTIMENTOS,REJUNTE,REJUNTE JBMIX,1KG,CINZA,REJUNTE JBMIX 1KG CINZA,REJUNTE,1KG,JBMIX,CINZA,,REJUNTE 1KG JBMIX CINZA
IXL-O61,E - PISOS E REVESTIMENTOS,REJUNTE,REJUNTE QUARTZOLIT,1KG,CINZA OUTONO,REJUNTE QUARTZOLIT 1KG CINZA OUTONO,REJUNTE,1KG,QUARTZOLIT,CINZA OUTONO,,REJUNTE 1KG QUARTZOLIT CINZA OUTONO
TRQ-XS5,E - PISOS E REVESTIMENTOS,REJUNTE,REJUNTE JBMIX,1KG,GRAFITE,REJUNTE JBMIX 1KG GRAFITE,REJUNTE,1KG,JBMIX,GRAFITE,,REJUNTE 1KG JBMIX GRAFITE
UJG-FR6,E - PISOS E REVESTIMENTOS,REJUNTE,REJUNTE QUARTZOLIT,1KG,MARROM TABACO,REJUNTE QUARTZOLIT 1KG MARROM TABACO,REJUNTE,1KG,QUARTZOLIT,MARROM TABACO,,REJUNTE 1KG QUARTZOLIT MARROM TABACO
UZC-NK1,E - PISOS E REVESTIMENTOS,REJUNTE,REJUNTE QUARTZOLIT,1KG,BRANCO,REJUNTE QUARTZOLIT 1KG BRANCO,REJUNTE,1KG,QUARTZOLIT,BRANCO,,REJUNTE 1KG QUARTZOLIT BRANCO
V2L-4YQ,E - PISOS E REVESTIMENTOS,REJUNTE,REJUNTE JBMIX,1KG,VERDE ABACATE,REJUNTE JBMIX 1KG VERDE ABACATE,REJUNTE,1KG,JBMIX,VERDE ABACATE,,REJUNTE 1KG JBMIX VERDE ABACATE
VBR-S48,E - PISOS E REVESTIMENTOS,REJUNTE,REJUNTE QUARTZOLIT,1KG,BEGE,REJUNTE QUARTZOLIT 1KG BEGE,REJUNTE,1KG,QUARTZOLIT,BEGE,,REJUNTE 1KG QUARTZOLIT BEGE
W1L-1VW,E - PISOS E REVESTIMENTOS,DIVERSOS,REV 34X50 EURO GALICIA,34X50,,REV 34X50 EURO GALICIA 34X50,"REV 34X50 EURO GALICIA MARROM EXT. (2,38 M2)",,,,,"REV 34X50 EURO GALICIA MARROM EXT. (2,38 M2)"
2F6-DYM,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,REV EKP 34X50 DINAMARCA,34X50,,REV EKP 34X50 DINAMARCA 34X50,REV EKP 34X50 DINAMARCA MIX EXT (2.38M2),,,,,REV EKP 34X50 DINAMARCA MIX EXT (2.38M2)
3HY-OH3,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,"REV. 7,5X15 LINHA SOFT",5X15,,"REV. 7,5X15 LINHA SOFT 5X15","REV. 7,5X15 LINHA SOFT BRANCO (1,00m²/ CX)   #M",,,,,"REV. 7,5X15 LINHA SOFT BRANCO (1,00m²/ CX)   #M"
4RQ-5C2,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,REVESTIMENTO,34X50,"FILETO DINAMARCA MIX (2,38 M²/ CX)","REVESTIMENTO 34X50 FILETO DINAMARCA MIX (2,38 M²/ CX)",REVESTIMENTO,34X50,"FILETO DINAMARCA MIX (2,38 M²/ CX)",,,"REVESTIMENTO 34X50 FILETO DINAMARCA MIX (2,38 M²/ CX)"
5UX-09I,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,REVESTIMENTO,34X50,"FILETO PIETRA CLARO (2,38 M²/ CX)","REVESTIMENTO 34X50 FILETO PIETRA CLARO (2,38 M²/ CX)",REVESTIMENTO,34X50,"FILETO PIETRA CLARO (2,38 M²/ CX)",,,"REVESTIMENTO 34X50 FILETO PIETRA CLARO (2,38 M²/ CX)"
8LV-C5W,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,REVESTIMENTO,10X10,"NORONHA MESH MAR (1,62 M²/ CX)","REVESTIMENTO 10X10 NORONHA MESH MAR (1,62 M²/ CX)",REVESTIMENTO,10X10,"NORONHA MESH MAR (1,62 M²/ CX)",,,"REVESTIMENTO 10X10 NORONHA MESH MAR (1,62 M²/ CX)"
9JA-EDE,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,REVESTIMENTO,10X10,"NORONHA MESH JADE (1,62 M²/ CX)","REVESTIMENTO 10X10 NORONHA MESH JADE (1,62 M²/ CX)",REVESTIMENTO,10X10,"NORONHA MESH JADE (1,62 M²/ CX)",,,"REVESTIMENTO 10X10 NORONHA MESH JADE (1,62 M²/ CX)"
9SG-5M0,E - PISOS E REVESTIMENTOS,DIVERSOS,REVESTIMENTO,34X50,"GALICIA CINZA EXT. (2,38 M²/ CX)","REVESTIMENTO 34X50 GALICIA CINZA EXT. (2,38 M²/ CX)",REVESTIMENTO,34X50,"GALICIA CINZA EXT. (2,38 M²/ CX)",,,"REVESTIMENTO 34X50 GALICIA CINZA EXT. (2,38 M²/ CX)"
9Z2-5S3,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,REVESTIMENTO,34X50,"FILETO RÚSTICO - GRAFITE (2,38 M²/ CX)","REVESTIMENTO 34X50 FILETO RÚSTICO - GRAFITE (2,38 M²/ CX)",REVESTIMENTO,34X50,"FILETO RÚSTICO - GRAFITE (2,38 M²/ CX)",,,"REVESTIMENTO 34X50 FILETO RÚSTICO - GRAFITE (2,38 M²/ CX)"
FOK-C9Z,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,REVESTIMENTO,34X50,"FILETO RÚSTICO CLARO (2,38M2)","REVESTIMENTO 34X50 FILETO RÚSTICO CLARO (2,38M2)",REVESTIMENTO,34X50,"FILETO RÚSTICO CLARO (2,38M2)",,,"REVESTIMENTO 34X50 FILETO RÚSTICO CLARO (2,38M2)"
HFR-SG2,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,REVESTIMENTO,10X10,"NORONHA MESH SAFIRA (1,62M²/ CX)","REVESTIMENTO 10X10 NORONHA MESH SAFIRA (1,62M²/ CX)",REVESTIMENTO,10X10,"NORONHA MESH SAFIRA (1,62M²/ CX)",,,"REVESTIMENTO 10X10 NORONHA MESH SAFIRA (1,62M²/ CX)"
LYV-GH5,E - PISOS E REVESTIMENTOS,DIVERSOS,REVESTIMENTO,34X50,"FILETO RÚSTICO - MIX (2,38 M²/ CX)","REVESTIMENTO 34X50 FILETO RÚSTICO - MIX (2,38 M²/ CX)",REVESTIMENTO,34X50,"FILETO RÚSTICO - MIX (2,38 M²/ CX)",,,"REVESTIMENTO 34X50 FILETO RÚSTICO - MIX (2,38 M²/ CX)"
YS6-BLE,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,REVESTIMENTO,10X10,"MYCONOS 1,8 M/ 17 PCS","REVESTIMENTO 10X10 MYCONOS 1,8 M/ 17 PCS",REVESTIMENTO,10X10,"MYCONOS 1,8 M/ 17 PCS",,,"REVESTIMENTO 10X10 MYCONOS 1,8 M/ 17 PCS"
ZWX-9YD,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,REVESTIMENTO,10X10,"WHITE TELADO  (CX 1,95 m²)","REVESTIMENTO 10X10 WHITE TELADO (CX 1,95 m²)",REVESTIMENTO,10X10,"WHITE TELADO  (CX 1,95 m²)",,,"REVESTIMENTO 10X10 WHITE TELADO  (CX 1,95 M²)"
3DE-ZOF,E - PISOS E REVESTIMENTOS,PISOS E REVESTIMENTOS,"TECPLUS 1 QUARTZOLIT 3,6","3,6 L",,"TECPLUS 1 QUARTZOLIT 3,6 L","TECPLUS 1 QUARTZOLIT 3,6 L",,,,,"TECPLUS 1 QUARTZOLIT 3,6 L"
GK9-FLB,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,DOBRADIÇA,(CONJUNTO),850 X 2 1/2 3 PCS,DOBRADIÇA (CONJUNTO) 850 X 2 1/2 3 PCS,DOBRADIÇA,(CONJUNTO),850 X 2 1/2 3 PCS,,,DOBRADIÇA (CONJUNTO) 850 X 2 1/2 3 PCS
NS0-M60,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,DOBRADIÇA,UNID,850 X 1 1/2,DOBRADIÇA UNID 850 X 1 1/2,DOBRADIÇA,UNID,850 X 1 1/2,,,DOBRADIÇA UNID 850 X 1 1/2
TMG-Y2F,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,DOBRADIÇA,(CONJUNTO),850 X 1 1/2 2 PCS,DOBRADIÇA (CONJUNTO) 850 X 1 1/2 2 PCS,DOBRADIÇA,(CONJUNTO),850 X 1 1/2 2 PCS,,,DOBRADIÇA (CONJUNTO) 850 X 1 1/2 2 PCS
0EK-Y4Z,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,FECHADURA,STAM,823/03 INOX BANHEIRO,FECHADURA STAM 823/03 INOX BANHEIRO,FECHADURA,STAM,823/03 INOX BANHEIRO,,,FECHADURA STAM 823/03 INOX BANHEIRO
9O8-0JI,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,FECHADURA,STAM,803/21 ESP. INOX (G),FECHADURA STAM 803/21 ESP. INOX (G),FECHADURA,STAM,803/21 ESP. INOX (G),,,FECHADURA STAM 803/21 ESP. INOX (G)
BK1-L8K,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,FECHADURA,STAM,1801/21 OXIDADO STAM,FECHADURA STAM 1801/21 OXIDADO STAM,FECHADURA,STAM,1801/21 OXIDADO STAM,,,FECHADURA STAM 1801/21 OXIDADO STAM
J6E-L9K,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,FECHADURA,STAM,803/21 ESP. PRETO FOSCO (G),FECHADURA STAM 803/21 ESP. PRETO FOSCO (G),FECHADURA,STAM,803/21 ESP. PRETO FOSCO (G),,,FECHADURA STAM 803/21 ESP. PRETO FOSCO (G)
JQ6-7GN,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,FECHADURA,STAM,803/33 ESP. PRETO FOSCO (G),FECHADURA STAM 803/33 ESP. PRETO FOSCO (G),FECHADURA,STAM,803/33 ESP. PRETO FOSCO (G),,,FECHADURA STAM 803/33 ESP. PRETO FOSCO (G)
N60-DE4,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,FECHADURA,STAM,803/33 ESP. OXIDADO E-COAT (G),FECHADURA STAM 803/33 ESP. OXIDADO E-COAT (G),FECHADURA,STAM,803/33 ESP. OXIDADO E-COAT (G),,,FECHADURA STAM 803/33 ESP. OXIDADO E-COAT (G)
O39-ONH,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,FECHADURA,SOPRANO,40 X 53 REFINATA A,FECHADURA SOPRANO 40 X 53 REFINATA A,FECHADURA,SOPRANO,40 X 53 REFINATA A,,,FECHADURA SOPRANO 40 X 53 REFINATA A
VZL-3J2,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,FECHADURA,STAM,803/10 OXIDADO,FECHADURA STAM 803/10 OXIDADO,FECHADURA,STAM,803/10 OXIDADO,,,FECHADURA STAM 803/10 OXIDADO
W9E-NJA,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,FECHADURA,STAM,803/35 ESP. INOX (G),FECHADURA STAM 803/35 ESP. INOX (G),FECHADURA,STAM,803/35 ESP. INOX (G),,,FECHADURA STAM 803/35 ESP. INOX (G)
YKQ-42N,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,FECHADURA,STAM,3100 (40 MM) ROS QUADR - EXT. INOX,FECHADURA STAM 3100 (40 MM) ROS QUADR - EXT. INOX,FECHADURA,STAM,3100 (40 MM) ROS QUADR - EXT. INOX,,,FECHADURA STAM 3100 (40 MM) ROS QUADR - EXT. INOX
65P-XX0,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,FECHO ZINCADO,CHATO,"3""","FECHO ZINCADO CHATO 3""",FECHO ZINCADO,CHATO,"3""",,,"FECHO ZINCADO CHATO 3"""
7TT-CFV,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,FECHO ZINCADO,CHATO,"4""","FECHO ZINCADO CHATO 4""",FECHO ZINCADO,CHATO,"4""",,,"FECHO ZINCADO CHATO 4"""
91J-T83,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,KIT P/ ASSENTAMENTO DE,8 X 2,,KIT P/ ASSENTAMENTO DE 8 X 2,"KIT P/ ASSENTAMENTO DE PORTA (MARCO+VISTA) 0,8 X 2,10 M",,,,,"KIT P/ ASSENTAMENTO DE PORTA (MARCO+VISTA) 0,8 X 2,10 M"
9C8-BY4,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,"PORTA MADEIRA 0,80 X",80 X 2,,"PORTA MADEIRA 0,80 X 80 X 2","PORTA MADEIRA 0,80 X 2,10",,,,,"PORTA MADEIRA 0,80 X 2,10"
VE3-568,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,"PORTA MDF FRISADA 0,80",80 X 2,,"PORTA MDF FRISADA 0,80 80 X 2","PORTA MDF FRISADA 0,80 X 2,10",,,,,"PORTA MDF FRISADA 0,80 X 2,10"
0YM-46O,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,"PORTA MDF LISA 0,80",80 X 2,,"PORTA MDF LISA 0,80 80 X 2","PORTA MDF LISA 0,80 X 2,10",,,,,"PORTA MDF LISA 0,80 X 2,10"
0ZR-3E1,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,PORTA-CADEADO ZINCADO 2.1/2,1/2,,PORTA-CADEADO ZINCADO 2.1/2 1/2,PORTA-CADEADO ZINCADO 2.1/2,,,,,PORTA-CADEADO ZINCADO 2.1/2
HPE-M3T,F - ESQUADRIAS E FERRAGENS,ESQUADRIAS E FERRAGENS,PORTA-CADEADO ZINCADO 3.1/2,1/2,,PORTA-CADEADO ZINCADO 3.1/2 1/2,PORTA-CADEADO ZINCADO 3.1/2,,,,,PORTA-CADEADO ZINCADO 3.1/2
4V6-GV5,G - PINTURA E QUÍMICOS,ADESIVO,ADESIVO PLÁSTICO,17G,POLYTUBES,ADESIVO PLÁSTICO 17G POLYTUBES,ADESIVO PLÁSTICO P/ TUBOS,17G,POLYTUBES,,,ADESIVO PLÁSTICO P/ TUBOS 17G POLYTUBES
KHH-245,G - PINTURA E QUÍMICOS,ADESIVO,ADESIVO PLÁSTICO,75G,POLYTUBES,ADESIVO PLÁSTICO 75G POLYTUBES,ADESIVO PLÁSTICO P/ TUBOS,75G,POLYTUBES,,,ADESIVO PLÁSTICO P/ TUBOS 75G POLYTUBES
580-SGQ,G - PINTURA E QUÍMICOS,PINTURA E QUÍMICOS,ADITIVO PLASTIFICANTE,QUARTZOLIT,01 L,ADITIVO PLASTIFICANTE QUARTZOLIT 01 L,ADITIVO PLASTIFICANTE,QUARTZOLIT,01 L,,,ADITIVO PLASTIFICANTE QUARTZOLIT 01 L
SPE-F1T,G - PINTURA E QUÍMICOS,PINTURA E QUÍMICOS,ADITIVO PLASTIFICANTE,QUARTZOLIT,"3,6 L","ADITIVO PLASTIFICANTE QUARTZOLIT 3,6 L",ADITIVO PLASTIFICANTE,QUARTZOLIT,"3,6 L",,,"ADITIVO PLASTIFICANTE QUARTZOLIT 3,6 L"
JZD-M82,G - PINTURA E QUÍMICOS,PINTURA E QUÍMICOS,BANDEJA P/PINTURA,GRANDE,CONDOR,BANDEJA P/PINTURA GRANDE CONDOR,BANDEJA P/PINTURA,GRANDE,CONDOR,,,BANDEJA P/PINTURA GRANDE CONDOR
JGO-LM0,G - PINTURA E QUÍMICOS,PINTURA E QUÍMICOS,"COLORANTE BASE AGUA (3,6L)",IQUINE,PRETO,"COLORANTE BASE AGUA (3,6L) IQUINE PRETO","COLORANTE BASE AGUA (3,6L)",IQUINE,PRETO,,,"COLORANTE BASE AGUA (3,6L) IQUINE PRETO"
S56-FAX,G - PINTURA E QUÍMICOS,PINTURA E QUÍMICOS,"COLORANTE BASE AGUA (3,6L)",IQUINE,PRETO,"COLORANTE BASE AGUA (3,6L) IQUINE PRETO","COLORANTE BASE AGUA (3,6L)",IQUINE,PRETO,,,"COLORANTE BASE AGUA (3,6L) IQUINE PRETO"
0HD-9DX,G - PINTURA E QUÍMICOS,TINTA,CORANTE LÍQUIDO,PRETO,XADREZ,CORANTE LÍQUIDO PRETO XADREZ,CORANTE LIQUIDO 50 ML,PRETO,XADREZ,,,CORANTE LIQUIDO 50 ML PRETO XADREZ
412-8AK,G - PINTURA E QUÍMICOS,TINTA,CORANTE LÍQUIDO,AMARELO,XADREZ,CORANTE LÍQUIDO AMARELO XADREZ,CORANTE LIQUIDO 50 ML,AMARELO,XADREZ,,,CORANTE LIQUIDO 50 ML AMARELO XADREZ
5NW-ERQ,G - PINTURA E QUÍMICOS,TINTA,CORANTE LÍQUIDO,MARROM,XADREZ,CORANTE LÍQUIDO MARROM XADREZ,CORANTE LIQUIDO 50 ML,MARROM,XADREZ,,,CORANTE LIQUIDO 50 ML MARROM XADREZ
844-SAN,G - PINTURA E QUÍMICOS,TINTA,CORANTE LÍQUIDO,BRANCO,XADREZ,CORANTE LÍQUIDO BRANCO XADREZ,CORANTE LIQUIDO 50 ML,BRANCO,XADREZ,,,CORANTE LIQUIDO 50 ML BRANCO XADREZ
A2B-9K9,G - PINTURA E QUÍMICOS,TINTA,CORANTE LÍQUIDO,AZUL,XADREZ,CORANTE LÍQUIDO AZUL XADREZ,CORANTE LIQUIDO 50 ML,AZUL,XADREZ,,,CORANTE LIQUIDO 50 ML AZUL XADREZ
AU3-1L7,G - PINTURA E QUÍMICOS,TINTA,CORANTE LÍQUIDO,VERMELHO,XADREZ,CORANTE LÍQUIDO VERMELHO XADREZ,CORANTE LIQUIDO 50 ML,VERMELHO,XADREZ,,,CORANTE LIQUIDO 50 ML VERMELHO XADREZ
FI8-7HK,G - PINTURA E QUÍMICOS,TINTA,CORANTE LÍQUIDO,OCRE,XADREZ,CORANTE LÍQUIDO OCRE XADREZ,CORANTE LIQUIDO 50 ML,OCRE,XADREZ,,,CORANTE LIQUIDO 50 ML OCRE XADREZ
QT9-T2T,G - PINTURA E QUÍMICOS,TINTA,CORANTE LÍQUIDO,LARANJA,XADREZ,CORANTE LÍQUIDO LARANJA XADREZ,CORANTE LIQUIDO 50 ML,LARANJA,XADREZ,,,CORANTE LIQUIDO 50 ML LARANJA XADREZ
SXN-8U3,G - PINTURA E QUÍMICOS,TINTA,CORANTE LÍQUIDO,VIOLETA,XADREZ,CORANTE LÍQUIDO VIOLETA XADREZ,CORANTE LIQUIDO 50 ML,VIOLETA,XADREZ,,,CORANTE LIQUIDO 50 ML VIOLETA XADREZ
UV7-JO7,G - PINTURA E QUÍMICOS,TINTA,CORANTE LÍQUIDO,VERDE,XADREZ,CORANTE LÍQUIDO VERDE XADREZ,CORANTE LIQUIDO 50 ML,VERDE,XADREZ,,,CORANTE LIQUIDO 50 ML VERDE XADREZ
LBZ-M7Y,G - PINTURA E QUÍMICOS,PINTURA E QUÍMICOS,DESENGRIPANTE 30ML,STARRET,,DESENGRIPANTE 30ML STARRET,DESENGRIPANTE 30ML,STARRET,,,,DESENGRIPANTE 30ML STARRET
6KI-PD7,G - PINTURA E QUÍMICOS,PINTURA E QUÍMICOS,ESPUMA EXPANSIVA,300ML,QUARTZOLIT,ESPUMA EXPANSIVA 300ML QUARTZOLIT,ESPUMA EXPANSIVA,300ML,QUARTZOLIT,,,ESPUMA EXPANSIVA 300ML QUARTZOLIT
8WA-MXQ,G - PINTURA E QUÍMICOS,PINTURA E QUÍMICOS,ESPUMA EXPANSIVA,300ML,TEKBOND,ESPUMA EXPANSIVA 300ML TEKBOND,ESPUMA EXPANSIVA,300ML,TEKBOND,,,ESPUMA EXPANSIVA 300ML TEKBOND
GCA-VU2,G - PINTURA E QUÍMICOS,PINTURA E QUÍMICOS,ESPUMA EXPANSIVA,500ML,DRYCO,ESPUMA EXPANSIVA 500ML DRYCO,ESPUMA EXPANSIVA,500ML,DRYCO,,,ESPUMA EXPANSIVA 500ML DRYCO
I0X-POD,G - PINTURA E QUÍMICOS,PINTURA E QUÍMICOS,ESPUMA EXPANSIVA,500ML,FISHER,ESPUMA EXPANSIVA 500ML FISHER,ESPUMA EXPANSIVA,500ML,FISHER,,,ESPUMA EXPANSIVA 500ML FISHER
HXO-K52,G - PINTURA E QUÍMICOS,IMPERMEABILIZANTE,IMPERMEABILIZANTE PAREDE,QUARTZOLIT,18 KG,IMPERMEABILIZANTE PAREDE QUARTZOLIT 18 KG,IMPERMEABILIZANTE PAREDE,QUARTZOLIT,18 KG,,,IMPERMEABILIZANTE PAREDE QUARTZOLIT 18 KG
GCE-8D1,G - PINTURA E QUÍMICOS,PINTURA E QUÍMICOS,KIT P/ PINTURA BANDEJA+CABO+ROLO,,,KIT P/ PINTURA BANDEJA+CABO+ROLO,KIT P/ PINTURA BANDEJA+CABO+ROLO,,,,,KIT P/ PINTURA BANDEJA+CABO+ROLO
JB9-55T,G - PINTURA E QUÍMICOS,PINTURA E QUÍMICOS,LIMPADOR DE REJUNTE DIÁRIO,500 ML,,LIMPADOR DE REJUNTE DIÁRIO 500 ML,LIMPADOR DE REJUNTE DIÁRIO QUARTZOLIT 500 ML,,,,,LIMPADOR DE REJUNTE DIÁRIO QUARTZOLIT 500 ML
86K-BKE,G - PINTURA E QUÍMICOS,LIXA,LIXA,D'AGUA,G 100,LIXA D'AGUA G 100,LIXA,D'AGUA,G 100,,,LIXA D'AGUA G 100
EK3-YBH,G - PINTURA E QUÍMICOS,LIXA,LIXA,D'AGUA,G 120,LIXA D'AGUA G 120,LIXA,D'AGUA,G 120,,,LIXA D'AGUA G 120
GOZ-ZC0,G - PINTURA E QUÍMICOS,LIXA,LIXA,D'AGUA,G 060,LIXA D'AGUA G 060,LIXA,D'AGUA,G 060,,,LIXA D'AGUA G 060
GXS-S5S,G - PINTURA E QUÍMICOS,LIXA,LIXA,D'AGUA,G 150,LIXA D'AGUA G 150,LIXA,D'AGUA,G 150,,,LIXA D'AGUA G 150
JH3-ND7,G - PINTURA E QUÍMICOS,LIXA,LIXA,D'AGUA,G 080,LIXA D'AGUA G 080,LIXA,D'AGUA,G 080,,,LIXA D'AGUA G 080
FP5-V05,G - PINTURA E QUÍMICOS,IMPERMEABILIZANTE,MANTA LÍQUIDA,"4,5KG",,"MANTA LÍQUIDA 4,5KG","MANTA LÍQUIDA BRANCA 4,5KG QUARTZOLIT - GL",,,,,"MANTA LÍQUIDA BRANCA 4,5KG QUARTZOLIT - GL"
3HY-WE8,G - PINTURA E QUÍMICOS,IMPERMEABILIZANTE,MANTA LÍQUIDA,"3,6 KG",,"MANTA LÍQUIDA 3,6 KG","MANTA LÍQUIDA PRETA 3,6 KG QUARTZOLIT - GL",,,,,"MANTA LÍQUIDA PRETA 3,6 KG QUARTZOLIT - GL"
95B-U2J,G - PINTURA E QUÍMICOS,MASSA ACRÍLICA,MASSA ACRÍLICA HIPERCOR,20 KG,,MASSA ACRÍLICA HIPERCOR 20 KG HIPERCOR,MASSA ACRILICA (BD 20 KG) HIPERCOR,,,,,MASSA ACRILICA (BD 20 KG) HIPERCOR
0AL-8O3,G - PINTURA E QUÍMICOS,MASSA ACRÍLICA,MASSA ACRÍLICA LUX,20 KG,,MASSA ACRÍLICA LUX 20 KG,MASSA ACRILICA (BD 20 KG) LUX #G,,,,,MASSA ACRILICA (BD 20 KG) LUX #G
7UH-XAA,G - PINTURA E QUÍMICOS,MASSA ACRÍLICA,MASSA ACRÍLICA LUX,4 KG,,MASSA ACRÍLICA LUX 4 KG,MASSA ACRILICA (BD 4 KG) LUX #G,,,,,MASSA ACRILICA (BD 4 KG) LUX #G
I4Z-LYJ,G - PINTURA E QUÍMICOS,MASSA ACRÍLICA,MASSA ACRÍLICA HIPERCOR,5 KG,,MASSA ACRÍLICA HIPERCOR 5 KG,MASSA ACRILICA (BD 5 KG) HIPERCOR,,,,,MASSA ACRILICA (BD 5 KG) HIPERCOR
65D-NS3,G - PINTURA E QUÍMICOS,PINTURA E QUÍMICOS,MASSA ASFALTICA - GL,,,MASSA ASFALTICA - GL,MASSA ASFALTICA - GL,,,,,MASSA ASFALTICA - GL
YCF-12J,G - PINTURA E QUÍMICOS,MASSA CORRIDA,MASSA CORRIDA HIPERCOR,20 KG,,MASSA CORRIDA HIPERCOR 20 KG,MASSA CORRIDA (BD 20 KG) HIPERCOR #G,,,,,MASSA CORRIDA (BD 20 KG) HIPERCOR #G
58D-Z6X,G - PINTURA E QUÍMICOS,MASSA CORRIDA,MASSA CORRIDA LUX,20 KG,,MASSA CORRIDA LUX 20 KG,MASSA CORRIDA (BD 20 KG) LUX #G,,,,,MASSA CORRIDA (BD 20 KG) LUX #G
S24-9LG,G - PINTURA E QUÍMICOS,MASSA CORRIDA,MASSA CORRIDA LUX,4 KG,,MASSA CORRIDA LUX 4 KG,MASSA CORRIDA (BD 4 KG) LUX #G,,,,,MASSA CORRIDA (BD 4 KG) LUX #G
GTU-H4G,G - PINTURA E QUÍMICOS,MASSA CORRIDA,MASSA CORRIDA HIPERCOR,5 KG,,MASSA CORRIDA HIPERCOR 5 KG,MASSA CORRIDA (BD 5 KG) HIPERCOR,,,,,MASSA CORRIDA (BD 5 KG) HIPERCOR
1O7-2GY,G - PINTURA E QUÍMICOS,PINTURA E QUÍMICOS,NOVA RAZ 260 5L,5L,,NOVA RAZ 260 5L,NOVA RAZ 260 5L,,,,,NOVA RAZ 260 5L
2VC-08A,G - PINTURA E QUÍMICOS,PINTURA E QUÍMICOS,PINTURA ASFALTICA ACQUA 01,01 L,,PINTURA ASFALTICA ACQUA 01 L,PINTURA ASFALTICA ACQUA 01 L,,,,,PINTURA ASFALTICA ACQUA 01 L
PHT-U2K,G - PINTURA E QUÍMICOS,PINTURA E QUÍMICOS,ROLO DE ESPUMA,,,ROLO DE ESPUMA,ROLO DE ESPUMA PROF 15CM,,,,,ROLO DE ESPUMA PROF 15CM
Y90-TQH,G - PINTURA E QUÍMICOS,PINTURA E QUÍMICOS,ROLO DE LÃ,,,ROLO DE LÃ,ROLO DE LA  05 CM,,,,,ROLO DE LA  05 CM
