codigo_interno,categoria_atual,linha,produto_compra,eixo_a,eixo_b,novo_sku,h1,h2,h3,h4,h5,sku_atual
KOV-H9Y,G - PINTURA E QUÍMICOS,TINTA,TINTA ESMALTE SINTÉTICO,(900 ML),CITYCOLOR,TINTA ESMALTE SINTÉTICO (900 ML) CITYCOLOR,TINTA,(900 ML),ESMALTE,CITYCOLOR,AZUL DEL REY,TINTA (900 ML) ESMALTE CITYCOLOR AZUL DEL REY
KVZ-S3Q,G - PINTURA E QUÍMICOS,TINTA,TINTA SEMI-BRILHO,"(3,6 L)",VERTEX,"TINTA SEMI-BRILHO (3,6 L) VERTEX",TINTA,"(3,6 L)",SEMI-BRILHO,VERTEX,AMARELO VANILLA,"TINTA (3,6 L) SEMI-BRILHO VERTEX AMARELO VANILLA"
KWQ-0FN,G - PINTURA E QUÍMICOS,TINTA,TINTA ESMALTE SINTÉTICO,"(3,6L)",VERBRAS,"TINTA ESMALTE SINTÉTICO (3,6L) VERBRAS",TINTA,"(3,6L)",ESMALTE,VERBRAS,LARANJA,"TINTA (3,6L) ESMALTE VERBRAS LARANJA"
M30-4N1,G - PINTURA E QUÍMICOS,TINTA,TINTA ESMALTE SINTÉTICO,"(3,6L)",HIPERCOR,"TINTA ESMALTE SINTÉTICO (3,6L) HIPERCOR",TINTA,"(3,6L)",ESMALTE,HIPERCOR,PRETO,"TINTA (3,6L) ESMALTE HIPERCOR PRETO"
N63-3NB,G - PINTURA E QUÍMICOS,TINTA,TINTA P/ PISO,(15 L),HIDRACOR,TINTA P/ PISO (15 L) HIDRACOR,TINTA,(15 L),P/ PISO,HIDRACOR,VERMELHO SEGURANÇA #G,TINTA (15 L) P/ PISO HIDRACOR VERMELHO SEGURANÇA #G
NU3-549,G - PINTURA E QUÍMICOS,TINTA,TINTA P/ PISO,"(3,6 L)",IQUINE,"TINTA P/ PISO (3,6 L) IQUINE",TINTA,"(3,6 L)",P/ PISO,IQUINE,CINZA MEDIO,"TINTA (3,6 L) P/ PISO IQUINE CINZA MEDIO"
NVM-2J1,G - PINTURA E QUÍMICOS,TINTA,TINTA P/ PISO,(18 L),IQUINE,TINTA P/ PISO (18 L) IQUINE,TINTA,(18 L),P/ PISO,IQUINE,BRANCO NEVE #G,TINTA (18 L) P/ PISO IQUINE BRANCO NEVE #G
O17-7SW,G - PINTURA E QUÍMICOS,TINTA,TINTA ACRÍLICA FOSCO,"(3,6 L)",VPRO,"TINTA ACRÍLICA FOSCO (3,6 L) VPRO",TINTA,"(3,6 L)",ACR. FOSCO ECON.,VPRO,BRANCO #G,"TINTA (3,6 L) ACR. FOSCO ECON. VPRO BRANCO #G"
OC9-XR5,G - PINTURA E QUÍMICOS,TINTA,TINTA P/ PISO,(15 L),HIDRACOR,TINTA P/ PISO (15 L) HIDRACOR,TINTA,(15 L),P/ PISO,HIDRACOR,AZUL,TINTA (15 L) P/ PISO HIDRACOR AZUL
OXV-JK1,G - PINTURA E QUÍMICOS,TINTA,TINTA ACRÍLICA FOSCO,"(3,6 L)",HIPERCOR,"TINTA ACRÍLICA FOSCO (3,6 L) HIPERCOR",TINTA,"(3,6 L)",ACR. FOSCO ECON.,HIPERCOR,AREIA,"TINTA (3,6 L) ACR. FOSCO ECON. HIPERCOR AREIA"
PM4-4LX,G - PINTURA E QUÍMICOS,TINTA,TINTA ESMALTE SINTÉTICO,(900 ML),VERBRAS,TINTA ESMALTE SINTÉTICO (900 ML) VERBRAS,TINTA,(900 ML),ESMALTE,VERBRAS,AMARELO CARTEPILA,TINTA (900 ML) ESMALTE VERBRAS AMARELO CARTEPILA
Q1P-V4O,G - PINTURA E QUÍMICOS,TINTA,TINTA P/ PISO,"(3,6 L)",IQUINE,"TINTA P/ PISO (3,6 L) IQUINE",TINTA,"(3,6 L)",P/ PISO,IQUINE,CINZA ESCURO #G,"TINTA (3,6 L) P/ PISO IQUINE CINZA ESCURO #G"
QQ9-ZLX,G - PINTURA E QUÍMICOS,TINTA,TINTA P/ PISO,"(3,6 L)",HIDRACOR,"TINTA P/ PISO (3,6 L) HIDRACOR",TINTA,"(3,6 L)",P/ PISO,HIDRACOR,CINZA,"TINTA (3,6 L) P/ PISO HIDRACOR CINZA"
